ONS / CCG code,,,"Commissioning region, region and CCG1",,,"Prescription items: All 
pharmacotherapies",Prescription items: Nicotine Replacement Therapies (NRT),Prescription items: Bupropion,Prescription items: Varenicline,"Prescription items per 1000 of the population: All 
pharmacotherapies",Prescription items per 1000 of the population: Nicotine Replacement Therapies (NRT),Prescription items per 1000 of the population: Bupropion,Prescription items per 1000 of the population: Varenicline
E38000141,,03L,NHS Rotherham CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire, 	217 , 	167 , 	4 , 	46 ,1,1,0,0
E38000145,,03M,NHS Scarborough and Ryedale CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,005 ", 	665 , 	38 , 	302 ,9,6,0,3
E38000146,,03N,NHS Sheffield CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	2,237 "," 	1,872 ", 	174 , 	191 ,4,3,0,0
E38000188,,03Q,NHS Vale of York CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,480 ", 	724 , 	77 , 	679 ,4,2,0,2
E38000190,,03R,NHS Wakefield CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	12,544 "," 	7,170 ", 	92 ," 	5,282 ",36,21,0,15
E38000225,,15F,NHS Leeds CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	9,797 "," 	3,595 ", 	195 ," 	6,007 ",12,5,0,8
E38000069,,03D,"NHS Hambleton, Richmondshire and Whitby CCG",NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	2,109 "," 	1,189 ", 	41 , 	879 ,14,8,0,6
E38000042,,00C,NHS Darlington CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire, 	609 , 	303 , 	40 , 	266 ,6,3,0,2
E38000047,,00D,"NHS Durham Dales, Easington and Sedgefield CCG",NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	4,979 ", 	241 , 	131 ," 	4,607 ",18,1,0,17
E38000075,,00K,NHS Hartlepool and Stockton-on-Tees CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire, 	670 , 	431 , 	34 , 	205 ,2,1,0,1
E38000116,,00J,NHS North Durham CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,774 ", 	488 , 	117 ," 	3,169 ",15,2,0,12
E38000127,,99C,NHS North Tyneside CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire, 	262 , 	134 , 	102 , 	26 ,1,1,0,0
E38000130,,00L,NHS Northumberland CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,973 ", 	268 , 	134 ," 	3,571 ",12,1,0,11
E38000162,,00M,NHS South Tees CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,331 "," 	1,919 ", 	154 ," 	1,258 ",12,7,1,5
E38000163,,00N,NHS South Tyneside CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,253 "," 	1,058 ", 	128 ," 	2,067 ",22,7,1,14
E38000176,,00P,NHS Sunderland CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,700 ", 	649 , 	248 ," 	2,803 ",13,2,1,10
E38000212,,13T,NHS Newcastle Gateshead CCG,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	4,701 "," 	2,119 ", 	344 ," 	2,238 ",9,4,1,4
E38000215,,01H,NHS North Cumbria CCG2,NHS England North East and Yorkshire (Cumbria and North East),North East and Yorkshire," 	3,508 "," 	1,408 ", 	108 ," 	1,992 ",11,4,0,6
E38000056,,01C,NHS Eastern Cheshire CCG,NHS England North West (Cheshire and Merseyside),North West, 	993 , 	360 , 	61 , 	572 ,5,2,0,3
E38000068,,01F,NHS Halton CCG,NHS England North West (Cheshire and Merseyside),North West," 	3,406 "," 	1,664 ", 	6 ," 	1,736 ",26,13,0,13
E38000091,,01J,NHS Knowsley CCG,NHS England North West (Cheshire and Merseyside),North West," 	2,833 "," 	1,456 ", 	33 ," 	1,344 ",19,10,0,9
E38000101,,99A,NHS Liverpool CCG,NHS England North West (Cheshire and Merseyside),North West," 	10,356 "," 	6,304 ", 	154 ," 	3,898 ",21,13,0,8
E38000151,,01R,NHS South Cheshire CCG,NHS England North West (Cheshire and Merseyside),North West, 	811 , 	224 , 	2 , 	585 ,4,1,0,3
E38000161,,01T,NHS South Sefton CCG,NHS England North West (Cheshire and Merseyside),North West," 	2,280 "," 	1,227 ", 	11 ," 	1,042 ",14,8,0,7
E38000170,,01V,NHS Southport and Formby CCG,NHS England North West (Cheshire and Merseyside),North West," 	1,412 ", 	913 , 	12 , 	487 ,12,8,0,4
E38000172,,01X,NHS St Helens CCG,NHS England North West (Cheshire and Merseyside),North West," 	4,161 "," 	2,120 ", 	19 ," 	2,022 ",23,12,0,11
E38000189,,02D,NHS Vale Royal CCG,NHS England North West (Cheshire and Merseyside),North West, 	354 , 	124 , 	11 , 	219 ,3,1,0,2
E38000194,,02E,NHS Warrington CCG,NHS England North West (Cheshire and Merseyside),North West," 	6,125 "," 	3,917 ", 	96 ," 	2,112 ",29,19,0,10
E38000196,,02F,NHS West Cheshire CCG,NHS England North West (Cheshire and Merseyside),North West," 	1,607 ", 	651 , 	72 , 	884 ,7,3,0,4
E38000208,,12F,NHS Wirral CCG,NHS England North West (Cheshire and Merseyside),North West," 	4,507 ", 	822 , 	58 ," 	3,627 ",14,3,0,11
E38000016,,00T,NHS Bolton CCG,NHS England North West (Greater Manchester),North West," 	3,391 "," 	2,508 ", 	38 , 	845 ,12,9,0,3
E38000024,,00V,NHS Bury CCG,NHS England North West (Greater Manchester),North West," 	1,592 ", 	204 , 	109 ," 	1,279 ",8,1,1,7
E38000080,,01D,"NHS Heywood, Middleton and Rochdale CCG",NHS England North West (Greater Manchester),North West," 	1,799 ", 	935 , 	17 , 	847 ,8,4,0,4
E38000135,,00Y,NHS Oldham CCG,NHS England North West (Greater Manchester),North West," 	6,581 "," 	4,878 ", 	48 ," 	1,655 ",28,21,0,7
E38000143,,01G,NHS Salford CCG,NHS England North West (Greater Manchester),North West," 	5,589 "," 	4,050 ", 	105 ," 	1,434 ",22,16,0,6
E38000174,,01W,NHS Stockport CCG,NHS England North West (Greater Manchester),North West," 	9,280 "," 	6,088 ", 	76 ," 	3,116 ",32,21,0,11
E38000182,,01Y,NHS Tameside and Glossop CCG,NHS England North West (Greater Manchester),North West," 	5,848 "," 	3,735 ", 	76 ," 	2,037 ",22,14,0,8
E38000187,,02A,NHS Trafford CCG,NHS England North West (Greater Manchester),North West," 	6,034 "," 	4,417 ", 	72 ," 	1,545 ",25,19,0,7
E38000205,,02H,NHS Wigan Borough CCG,NHS England North West (Greater Manchester),North West," 	7,269 "," 	4,766 ", 	209 ," 	2,294 ",22,15,1,7
E38000217,,14L,NHS Manchester CCG,NHS England North West (Greater Manchester),North West," 	20,172 "," 	15,571 ", 	346 ," 	4,255 ",36,28,1,8
E38000014,,00Q,NHS Blackburn with Darwen CCG,NHS England North West (Lancashire and South Cumbria),North West," 	1,406 ", 	335 , 	36 ," 	1,035 ",9,2,0,7
E38000015,,00R,NHS Blackpool CCG,NHS England North West (Lancashire and South Cumbria),North West," 	2,302 "," 	1,286 ", 	23 , 	993 ,17,9,0,7
E38000034,,00X,NHS Chorley and South Ribble CCG,NHS England North West (Lancashire and South Cumbria),North West," 	1,697 ", 	420 , 	31 ," 	1,246 ",10,2,0,7
E38000050,,01A,NHS East Lancashire CCG,NHS England North West (Lancashire and South Cumbria),North West," 	4,569 ", 	410 , 	28 ," 	4,131 ",12,1,0,11
E38000200,,02G,NHS West Lancashire CCG,NHS England North West (Lancashire and South Cumbria),North West," 	1,243 ", 	285 , 	22 , 	936 ,11,2,0,8
E38000226,,02M,NHS Fylde and Wyre CCG,NHS England North West (Lancashire and South Cumbria),North West," 	1,366 ", 	286 , 	33 ," 	1,047 ",7,1,0,5
E38000227,,01E,NHS Greater Preston CCG,NHS England North West (Lancashire and South Cumbria),North West," 	2,169 ", 	754 , 	28 ," 	1,387 ",11,4,0,7
E38000228,,01K,NHS Morecambe Bay CCG,NHS England North West (Lancashire and South Cumbria),North West," 	3,480 ", 	795 , 	58 ," 	2,627 ",10,2,0,8
E38000028,,04Y,NHS Cannock Chase CCG,NHS England Midlands (North Midlands),Midlands, 	398 , 	285 , 	1 , 	112 ,3,2,0,1
E38000053,,05D,NHS East Staffordshire CCG,NHS England Midlands (North Midlands),Midlands, 	366 , 	173 , 	-   , 	193 ,3,1,0,1
E38000103,,04E,NHS Mansfield and Ashfield CCG,NHS England Midlands (North Midlands),Midlands, 	365 , 	146 , 	25 , 	194 ,2,1,0,1
E38000109,,04H,NHS Newark and Sherwood CCG,NHS England Midlands (North Midlands),Midlands, 	142 , 	41 , 	9 , 	92 ,1,0,0,1
E38000126,,05G,NHS North Staffordshire CCG,NHS England Midlands (North Midlands),Midlands, 	863 , 	641 , 	5 , 	217 ,4,3,0,1
E38000132,,04K,NHS Nottingham City CCG,NHS England Midlands (North Midlands),Midlands," 	6,852 "," 	4,899 ", 	107 ," 	1,846 ",21,15,0,6
E38000133,,04L,NHS Nottingham North and East CCG,NHS England Midlands (North Midlands),Midlands, 	551 , 	348 , 	5 , 	198 ,4,2,0,1
E38000134,,04M,NHS Nottingham West CCG,NHS England Midlands (North Midlands),Midlands, 	158 , 	76 , 	20 , 	62 ,1,1,0,1
E38000142,,04N,NHS Rushcliffe CCG,NHS England Midlands (North Midlands),Midlands, 	325 , 	109 , 	98 , 	118 ,3,1,1,1
E38000147,,05N,NHS Shropshire CCG,NHS England Midlands (North Midlands),Midlands," 	1,999 ", 	663 , 	91 ," 	1,245 ",6,2,0,4
E38000153,,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,NHS England Midlands (North Midlands),Midlands, 	557 , 	394 , 	9 , 	154 ,2,2,0,1
E38000173,,05V,NHS Stafford and Surrounds CCG,NHS England Midlands (North Midlands),Midlands, 	119 , 	62 , 	4 , 	53 ,1,0,0,0
E38000175,,05W,NHS Stoke on Trent CCG,NHS England Midlands (North Midlands),Midlands," 	2,572 "," 	1,654 ", 	42 , 	876 ,10,6,0,3
E38000183,,05X,NHS Telford and Wrekin CCG,NHS England Midlands (North Midlands),Midlands," 	1,078 ", 	65 , 	25 , 	988 ,6,0,0,5
E38000229,,15M,NHS Derby and Derbyshire CCG,NHS England Midlands (North Midlands),Midlands," 	8,417 "," 	3,273 ", 	271 ," 	4,873 ",8,3,0,5
E38000038,,05A,NHS Coventry and Rugby CCG,NHS England Midlands (West Midlands),Midlands," 	6,554 "," 	2,954 ", 	713 ," 	2,887 ",14,6,1,6
E38000046,,05C,NHS Dudley CCG,NHS England Midlands (West Midlands),Midlands, 	473 , 	383 , 	32 , 	58 ,1,1,0,0
E38000078,,05F,NHS Herefordshire CCG,NHS England Midlands (West Midlands),Midlands, 	686 , 	356 , 	93 , 	237 ,4,2,0,1
E38000139,,05J,NHS Redditch and Bromsgrove CCG,NHS England Midlands (West Midlands),Midlands, 	123 , 	28 , 	42 , 	53 ,1,0,0,0
E38000144,,05L,NHS Sandwell and West Birmingham CCG,NHS England Midlands (West Midlands),Midlands," 	3,208 "," 	1,686 ", 	34 ," 	1,488 ",6,3,0,3
E38000164,,05R,NHS South Warwickshire CCG,NHS England Midlands (West Midlands),Midlands," 	5,723 "," 	3,602 ", 	167 ," 	1,954 ",21,13,1,7
E38000166,,05T,NHS South Worcestershire CCG,NHS England Midlands (West Midlands),Midlands, 	204 , 	106 , 	40 , 	58 ,1,0,0,0
E38000191,,05Y,NHS Walsall CCG,NHS England Midlands (West Midlands),Midlands, 	683 , 	512 , 	109 , 	62 ,2,2,0,0
E38000195,,05H,NHS Warwickshire North CCG,NHS England Midlands (West Midlands),Midlands," 	5,078 "," 	3,256 ", 	63 ," 	1,759 ",26,17,0,9
E38000210,,06A,NHS Wolverhampton CCG,NHS England Midlands (West Midlands),Midlands," 	2,825 "," 	2,150 ", 	8 , 	667 ,11,8,0,3
E38000211,,06D,NHS Wyre Forest CCG,NHS England Midlands (West Midlands),Midlands, 	24 , 	14 , 	7 , 	3 ,0,0,0,0
E38000220,,15E,NHS Birmingham and Solihull CCG,NHS England Midlands (West Midlands),Midlands," 	18,754 "," 	12,549 ", 	127 ," 	6,078 ",16,11,0,5
E38000037,,03V,NHS Corby CCG,NHS England Midlands (Central Midlands),Midlands, 	709 , 	228 , 	-   , 	481 ,10,3,0,7
E38000051,,03W,NHS East Leicestershire and Rutland CCG,NHS England Midlands (Central Midlands),Midlands," 	1,208 ", 	553 , 	96 , 	559 ,4,2,0,2
E38000097,,04C,NHS Leicester City CCG,NHS England Midlands (Central Midlands),Midlands," 	2,796 ", 	756 , 	157 ," 	1,883 ",8,2,0,5
E38000099,,03T,NHS Lincolnshire East CCG,NHS England Midlands (Central Midlands),Midlands," 	3,631 "," 	1,073 ", 	58 ," 	2,500 ",15,4,0,10
E38000100,,04D,NHS Lincolnshire West CCG,NHS England Midlands (Central Midlands),Midlands," 	2,553 ", 	580 , 	65 ," 	1,908 ",11,2,0,8
E38000108,,04G,NHS Nene CCG,NHS England Midlands (Central Midlands),Midlands," 	3,651 "," 	1,185 ", 	285 ," 	2,181 ",5,2,0,3
E38000157,,99D,NHS South Lincolnshire CCG,NHS England Midlands (Central Midlands),Midlands," 	2,364 ", 	629 , 	97 ," 	1,638 ",16,4,1,11
E38000165,,04Q,NHS South West Lincolnshire CCG,NHS England Midlands (Central Midlands),Midlands," 	1,570 ", 	414 , 	51 ," 	1,105 ",12,3,0,9
E38000201,,04V,NHS West Leicestershire CCG,NHS England Midlands (Central Midlands),Midlands," 	1,420 ", 	666 , 	62 , 	692 ,3,2,0,2
E38000007,,99E,NHS Basildon and Brentwood CCG,NHS England East of England (East),East of England," 	3,672 "," 	1,969 ", 	50 ," 	1,653 ",14,7,0,6
E38000010,,06F,NHS Bedfordshire CCG,NHS England East of England (East),East of England," 	7,459 "," 	3,837 ", 	70 ," 	3,552 ",16,8,0,8
E38000026,,06H,NHS Cambridgeshire and Peterborough CCG,NHS England East of England (East),East of England," 	17,623 "," 	9,917 ", 	661 ," 	7,045 ",20,11,1,8
E38000030,,99F,NHS Castle Point and Rochford CCG,NHS England East of England (East),East of England," 	2,669 "," 	1,409 ", 	36 ," 	1,224 ",15,8,0,7
E38000049,,06K,NHS East and North Hertfordshire CCG,NHS England East of England (East),East of England," 	6,156 ", 	285 , 	134 ," 	5,737 ",11,0,0,10
E38000063,,06M,NHS Great Yarmouth and Waveney CCG,NHS England East of England (East),East of England," 	5,309 "," 	1,478 ", 	135 ," 	3,696 ",24,7,1,17
E38000079,,06N,NHS Herts Valleys CCG,NHS England East of England (East),East of England," 	5,452 ", 	815 , 	240 ," 	4,397 ",9,1,0,7
E38000086,,06L,NHS Ipswich and East Suffolk CCG,NHS England East of England (East),East of England," 	5,400 "," 	1,920 ", 	92 ," 	3,388 ",13,5,0,8
E38000102,,06P,NHS Luton CCG,NHS England East of England (East),East of England," 	2,617 "," 	1,017 ", 	82 ," 	1,518 ",12,5,0,7
E38000106,,06Q,NHS Mid Essex CCG,NHS England East of England (East),East of England," 	3,086 "," 	1,595 ", 	102 ," 	1,389 ",8,4,0,4
E38000107,,04F,NHS Milton Keynes CCG2,NHS England East of England (East),East of England," 	3,544 ", 	651 , 	55 ," 	2,838 ",13,2,0,10
E38000117,,06T,NHS North East Essex CCG,NHS England East of England (East),East of England," 	4,222 "," 	2,094 ", 	132 ," 	1,996 ",12,6,0,6
E38000124,,06V,NHS North Norfolk CCG,NHS England East of England (East),East of England," 	2,597 "," 	1,040 ", 	71 ," 	1,486 ",15,6,0,9
E38000168,,99G,NHS Southend CCG,NHS England East of England (East),East of England," 	4,770 "," 	2,613 ", 	34 ," 	2,123 ",26,14,0,12
E38000185,,07G,NHS Thurrock CCG,NHS England East of England (East),East of England," 	3,229 "," 	1,556 ", 	19 ," 	1,654 ",19,9,0,9
E38000197,,07H,NHS West Essex CCG2,NHS England East of England (East),East of England," 	5,038 "," 	3,083 ", 	66 ," 	1,889 ",16,10,0,6
E38000203,,07J,NHS West Norfolk CCG,NHS England East of England (East),East of England," 	3,546 "," 	1,620 ", 	98 ," 	1,828 ",20,9,1,10
E38000204,,07K,NHS West Suffolk CCG2,NHS England East of England (East),East of England," 	3,783 "," 	1,641 ", 	150 ," 	1,992 ",16,7,1,9
E38000218,,06W,NHS Norwich CCG,NHS England East of England (East),East of England," 	3,319 "," 	1,089 ", 	162 ," 	2,068 ",15,5,1,9
E38000219,,06Y,NHS South Norfolk CCG,NHS England East of England (East),East of England," 	2,229 ", 	537 , 	54 ," 	1,638 ",9,2,0,7
E38000004,,07L,NHS Barking and Dagenham CCG,NHS England London,London," 	1,208 ", 	491 , 	11 , 	706 ,6,2,0,3
E38000005,,07M,NHS Barnet CCG,NHS England London,London," 	7,639 "," 	5,215 ", 	345 ," 	2,079 ",19,13,1,5
E38000011,,07N,NHS Bexley CCG,NHS England London,London," 	3,742 "," 	2,243 ", 	58 ," 	1,441 ",15,9,0,6
E38000020,,07P,NHS Brent CCG,NHS England London,London," 	2,440 "," 	1,623 ", 	142 , 	675 ,7,5,0,2
E38000023,,07Q,NHS Bromley CCG,NHS England London,London," 	2,998 "," 	1,769 ", 	275 , 	954 ,9,5,1,3
E38000027,,07R,NHS Camden CCG,NHS England London,London," 	6,306 "," 	4,539 ", 	529 ," 	1,238 ",23,17,2,5
E38000031,,09A,NHS Central London (Westminster) CCG2,NHS England London,London," 	2,992 "," 	1,246 ", 	538 ," 	1,208 ",16,7,3,6
E38000035,,07T,NHS City and Hackney CCG,NHS England London,London, 	695 , 	318 , 	296 , 	81 ,2,1,1,0
E38000040,,07V,NHS Croydon CCG,NHS England London,London," 	1,386 ", 	224 , 	207 , 	955 ,4,1,1,2
E38000048,,07W,NHS Ealing CCG2,NHS England London,London," 	3,717 "," 	2,416 ", 	253 ," 	1,048 ",11,7,1,3
E38000057,,07X,NHS Enfield CCG,NHS England London,London," 	2,996 "," 	2,126 ", 	61 , 	809 ,9,6,0,2
E38000066,,08A,NHS Greenwich CCG,NHS England London,London," 	1,437 ", 	509 , 	77 , 	851 ,5,2,0,3
E38000070,,08C,NHS Hammersmith and Fulham CCG2,NHS England London,London," 	3,033 "," 	1,304 ", 	541 ," 	1,188 ",16,7,3,6
E38000072,,08D,NHS Haringey CCG,NHS England London,London," 	4,326 "," 	2,985 ", 	183 ," 	1,158 ",16,11,1,4
E38000074,,08E,NHS Harrow CCG,NHS England London,London," 	1,673 "," 	1,149 ", 	85 , 	439 ,7,5,0,2
E38000077,,08F,NHS Havering CCG,NHS England London,London," 	1,108 ", 	654 , 	26 , 	428 ,4,3,0,2
E38000082,,08G,NHS Hillingdon CCG,NHS England London,London," 	1,825 "," 	1,094 ", 	94 , 	637 ,6,4,0,2
E38000084,,07Y,NHS Hounslow CCG2,NHS England London,London," 	4,763 "," 	2,223 ", 	229 ," 	2,311 ",18,8,1,9
E38000088,,08H,NHS Islington CCG,NHS England London,London," 	7,064 "," 	4,961 ", 	426 ," 	1,677 ",29,20,2,7
E38000090,,08J,NHS Kingston CCG,NHS England London,London," 	2,151 "," 	1,061 ", 	131 , 	959 ,12,6,1,5
E38000092,,08K,NHS Lambeth CCG,NHS England London,London," 	3,555 "," 	2,169 ", 	565 , 	821 ,11,7,2,3
E38000098,,08L,NHS Lewisham CCG,NHS England London,London," 	4,584 "," 	2,797 ", 	312 ," 	1,475 ",15,9,1,5
E38000105,,08R,NHS Merton CCG,NHS England London,London," 	1,862 ", 	995 , 	207 , 	660 ,9,5,1,3
E38000113,,08M,NHS Newham CCG,NHS England London,London," 	1,194 ", 	895 , 	81 , 	218 ,3,3,0,1
E38000138,,08N,NHS Redbridge CCG,NHS England London,London, 	921 , 	618 , 	78 , 	225 ,3,2,0,1
E38000140,,08P,NHS Richmond CCG,NHS England London,London," 	2,285 "," 	1,303 ", 	163 , 	819 ,12,7,1,4
E38000171,,08Q,NHS Southwark CCG,NHS England London,London," 	2,860 "," 	1,535 ", 	308 ," 	1,017 ",9,5,1,3
E38000179,,08T,NHS Sutton CCG,NHS England London,London," 	1,606 ", 	786 , 	66 , 	754 ,8,4,0,4
E38000186,,08V,NHS Tower Hamlets CCG,NHS England London,London," 	2,027 "," 	1,504 ", 	344 , 	179 ,6,5,1,1
E38000192,,08W,NHS Waltham Forest CCG,NHS England London,London," 	1,972 ", 	995 , 	59 , 	918 ,7,4,0,3
E38000193,,08X,NHS Wandsworth CCG,NHS England London,London," 	6,861 "," 	4,806 ", 	487 ," 	1,568 ",21,15,1,5
E38000202,,08Y,NHS West London CCG2,NHS England London,London," 	3,092 "," 	1,120 ", 	672 ," 	1,300 ",14,5,3,6
E38000059,,10K,NHS Fareham and Gosport CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	2,251 ", 	604 , 	110 ," 	1,537 ",11,3,1,8
E38000087,,10L,NHS Isle of Wight CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East, 	210 , 	131 , 	39 , 	40 ,1,1,0,0
E38000118,,99M,NHS North East Hampshire and Farnham CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	2,528 ", 	800 , 	249 ," 	1,479 ",12,4,1,7
E38000120,,10J,NHS North Hampshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	2,464 ", 	938 , 	106 ," 	1,420 ",11,4,0,6
E38000136,,10Q,NHS Oxfordshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	1,885 ", 	809 , 	823 , 	253 ,3,1,1,0
E38000137,,10R,NHS Portsmouth CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	3,475 "," 	1,260 ", 	184 ," 	2,031 ",16,6,1,9
E38000154,,10V,NHS South Eastern Hampshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	2,381 ", 	840 , 	74 ," 	1,467 ",11,4,0,7
E38000167,,10X,NHS Southampton CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	3,363 "," 	2,123 ", 	148 ," 	1,092 ",13,8,1,4
E38000178,,10C,NHS Surrey Heath CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	1,061 ", 	556 , 	43 , 	462 ,11,6,0,5
E38000198,,11A,NHS West Hampshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	5,850 "," 	2,651 ", 	497 ," 	2,702 ",10,5,1,5
E38000221,,15A,NHS Berkshire West CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	1,103 ", 	471 , 	316 , 	316 ,2,1,1,1
E38000223,,14Y,NHS Buckinghamshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East," 	1,461 ", 	889 , 	232 , 	340 ,3,2,0,1
E38000224,,15D,NHS East Berkshire CCG,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",South East, 	671 , 	236 , 	228 , 	207 ,2,1,1,0
E38000002,,09C,NHS Ashford CCG,"NHS England South East (Kent, Surrey and Sussex)",South East, 	310 , 	143 , 	22 , 	145 ,2,1,0,1
E38000021,,09D,NHS Brighton and Hove CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	7,320 "," 	5,071 ", 	374 ," 	1,875 ",25,17,1,6
E38000029,,09E,NHS Canterbury and Coastal CCG,"NHS England South East (Kent, Surrey and Sussex)",South East, 	920 , 	562 , 	102 , 	256 ,4,3,0,1
E38000039,,09H,NHS Crawley CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	3,196 "," 	1,864 ", 	49 ," 	1,283 ",28,17,0,11
E38000043,,09J,"NHS Dartford, Gravesham and Swanley CCG","NHS England South East (Kent, Surrey and Sussex)",South East, 	897 , 	594 , 	64 , 	239 ,3,2,0,1
E38000054,,09L,NHS East Surrey CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	2,123 ", 	713 , 	119 ," 	1,291 ",11,4,1,7
E38000055,,09F,"NHS Eastbourne, Hailsham and Seaford CCG","NHS England South East (Kent, Surrey and Sussex)",South East," 	2,978 ", 	949 , 	105 ," 	1,924 ",15,5,1,10
E38000076,,09P,NHS Hastings and Rother CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	4,321 "," 	1,691 ", 	189 ," 	2,441 ",23,9,1,13
E38000081,,99K,NHS High Weald Lewes Havens CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	2,619 ", 	976 , 	229 ," 	1,414 ",15,6,1,8
